,0,1,2
31,2022-12-05 01:25:05+00:00,1599575552335433729,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
32,2022-12-05 01:24:11+00:00,1599575325976850432,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
33,2022-12-05 01:24:08+00:00,1599575314669375488,"RT @theworldindex: Top 10 Strongest Hotel Brands, 2022:

1.🇮🇳 Taj
2.🇬🇧 Premier Inn
3.🇺🇸 Hilton
4.🇺🇸 Hampton Inn
5.🇺🇸 Embassy Suites
6.🇺🇸 JW…"
34,2022-12-05 01:01:12+00:00,1599569544099819520,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
35,2022-12-05 00:51:25+00:00,1599567083666214912,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
36,2022-12-05 00:51:21+00:00,1599567064330432513,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
37,2022-12-05 00:46:44+00:00,1599565901979742211,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
38,2022-12-05 00:44:30+00:00,1599565340169891840,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
39,2022-12-05 00:38:00+00:00,1599563706220052480,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
40,2022-12-05 00:36:13+00:00,1599563256947150849,"RT @SebGorka: Best service ever. 

After dinner we were going to go outside to have a cigar. 

Our waiter at the Waldorf Astoria in Jerusal…"
41,2022-12-05 00:35:34+00:00,1599563092878561281,@SebGorka @OlivaCigar OHHHH you ARE there !!!     The Waldorf Astoria -- that sure wasn't on our list for Inspiration Tours in 2019. 😇
