,scrapping_date,review_rating,reviewer_name,review_date,review_title,review_content
537,2022-11-06 17:04:41.593054,4/5 Good,Verified traveler,"Dec 2, 2017",Nice hotel close to all the shopping,"The hotel is in great location specially for shopping. Good size rooms, huge bathrooms.  polite & friendly staff. House car is great service they are offering. Downsides The mattresses are not firm and not very comfortable changed rooms and still the same. Rooms clean but more attention needs to be given to dusting specially mini bar.  Overall, nice comfortable stay."
538,2022-11-06 17:04:41.616479,5/5 Excellent,Augusto,"Dec 1, 2017",,
539,2022-11-06 17:04:41.636539,5/5 Excellent,"Nina, Toronto","Dec 1, 2017",Amazing hotel!,"From the courtyard to the lobby to the rooms, this hotel is absolutely beautiful (especially at Christmas time)! The staff are very nice, polite, accommodating and helpful. The hotel is within walking distance to great shopping and restaurants. Suite was beautifully decorated, extremely comfortable and very clean. I loved my stay at this hotel and would definitely stay here again."
540,2022-11-06 17:04:41.654755,4/5 Good,Verified traveler,"Dec 14, 2017","A nice hotel, but","The Waldorf Astoria is a nice hotel--however it is not on par with the Peninsula or the Ritz Carlton in  Chicago. There basically is no lobby and the entry  into the hotel leaves something to be desired/.  The room did have a fireplace which was quite nice in the cold weather; however the room  was very dimly lit ,particularly the bathroom.  The bathroom also only had one sink.  There was no coffee maker in the room--but when we requested one it was promptly delivered.  These are all little things, of course but when taken in aggregate it makes me feel that this hotel is not on the level of the Peninsula in Chicago or the Ritz Carlton in Chicago







++Chiacgo






\"
541,2022-11-06 17:04:41.672359,5/5 Excellent,Verified traveler,"Dec 11, 2017",,We come into city every year in December for Christmas shopping and to see a play.  The hotel is in a great location and we enjoy the small setting without a lot of people. The staff is very helpful and the rooms are very nice.  This was our second time at the Waldorf and we will be back next year.
542,2022-11-06 17:04:41.690062,5/5 Excellent,Verified traveler,"Dec 11, 2017",Best Hotel in Chicago,"I was born and raised in Chicago but moved to NYC after college. I now return to The Windy City every month for about 2-5 days for business. I only stay at the Waldorf. From the consistent high quality service, comfortable beds, well- maintained rooms, delicious breakfast, desireable location and all the comforts of home for the business traveler, this is the place for me! I've tried the Four Seasons and Penunsula- didn't live up to the same level for me."
543,2022-11-06 17:04:41.708220,5/5 Excellent,Rich,"Dec 11, 2017",,Wonderful
544,2022-11-06 17:04:41.725279,5/5 Excellent,"Cindy, Ohio","Dec 5, 2017",Gold Coast Glamour,Perfect location for walking to Oak ; Walton and State Streer shopping and dining.  Hotel has a modern chic feel; but feels comfortably intimate and cozy.  Rooms are lovely with great attention to detail..  Views fantastic.  I had a room with terrace and gas fireplace.  Great French patisserie coffee cafe in lobby.  Margeaux restaurant upstairs is a Parisien upscale bistro iand a new  neighborhood favorite.
545,2022-11-06 17:04:41.742006,5/5 Excellent,Gretchen,"Dec 5, 2017",Wonderful weekend getaway,"Absolutely amazing.   I was taking myself on a I've in a lifetime special trip after a horrible year and this hotel did not disappoint.   They were even more amazing when they found out I had,  gotten my purse stolen by assisting me with phone calls,  faxing paperwork  and sending a complimentary glass of wine.   I  cannot say enough good things about my stay."
546,2022-11-06 17:04:41.758717,5/5 Excellent,Verified traveler,"Dec 4, 2017",So welcoming,I stay here anytime I'm in Chicago.  Wow - traveling during the Christmas time and I always feel like family.  Always a great experience!
547,2022-11-06 17:04:41.778353,4/5 Good,Verified traveler,"Dec 2, 2017",Nice hotel close to all the shopping,"The hotel is in great location specially for shopping. Good size rooms, huge bathrooms.  polite & friendly staff. House car is great service they are offering. Downsides The mattresses are not firm and not very comfortable changed rooms and still the same. Rooms clean but more attention needs to be given to dusting specially mini bar.  Overall, nice comfortable stay."
548,2022-11-06 17:04:41.794352,5/5 Excellent,Augusto,"Dec 1, 2017",,
549,2022-11-06 17:04:41.810420,5/5 Excellent,"Nina, Toronto","Dec 1, 2017",Amazing hotel!,"From the courtyard to the lobby to the rooms, this hotel is absolutely beautiful (especially at Christmas time)! The staff are very nice, polite, accommodating and helpful. The hotel is within walking distance to great shopping and restaurants. Suite was beautifully decorated, extremely comfortable and very clean. I loved my stay at this hotel and would definitely stay here again."
550,2022-11-06 17:04:41.830307,4/5 Good,Verified traveler,"Dec 14, 2017","A nice hotel, but","The Waldorf Astoria is a nice hotel--however it is not on par with the Peninsula or the Ritz Carlton in  Chicago. There basically is no lobby and the entry  into the hotel leaves something to be desired/.  The room did have a fireplace which was quite nice in the cold weather; however the room  was very dimly lit ,particularly the bathroom.  The bathroom also only had one sink.  There was no coffee maker in the room--but when we requested one it was promptly delivered.  These are all little things, of course but when taken in aggregate it makes me feel that this hotel is not on the level of the Peninsula in Chicago or the Ritz Carlton in Chicago







++Chiacgo






\"
551,2022-11-06 17:04:41.850995,5/5 Excellent,Verified traveler,"Dec 11, 2017",,We come into city every year in December for Christmas shopping and to see a play.  The hotel is in a great location and we enjoy the small setting without a lot of people. The staff is very helpful and the rooms are very nice.  This was our second time at the Waldorf and we will be back next year.
552,2022-11-06 17:04:41.870407,5/5 Excellent,Verified traveler,"Dec 11, 2017",Best Hotel in Chicago,"I was born and raised in Chicago but moved to NYC after college. I now return to The Windy City every month for about 2-5 days for business. I only stay at the Waldorf. From the consistent high quality service, comfortable beds, well- maintained rooms, delicious breakfast, desireable location and all the comforts of home for the business traveler, this is the place for me! I've tried the Four Seasons and Penunsula- didn't live up to the same level for me."
553,2022-11-06 17:04:41.889595,5/5 Excellent,Rich,"Dec 11, 2017",,Wonderful
554,2022-11-06 17:04:41.911663,5/5 Excellent,"Cindy, Ohio","Dec 5, 2017",Gold Coast Glamour,Perfect location for walking to Oak ; Walton and State Streer shopping and dining.  Hotel has a modern chic feel; but feels comfortably intimate and cozy.  Rooms are lovely with great attention to detail..  Views fantastic.  I had a room with terrace and gas fireplace.  Great French patisserie coffee cafe in lobby.  Margeaux restaurant upstairs is a Parisien upscale bistro iand a new  neighborhood favorite.
