,scrapping_date,review_rating,reviewer_name,review_date,review_title,review_content
175,2022-11-06 17:22:07.907419,4/5 Good,candie,"Jul 26, 2022",You can never go wrong with Hilton,"We were able to check in early which was nice. Front desk staff was friendly and helpful. The fitted sheet did not fit the bed when they changed the sheets, so we used the flat sheet to lay on. I have no doubt if I would have said something they would have fixed it, but to me it was not that big of deal just odd. When we asked for extra towels and blanket they got it right away. I wished they had a menu showing what their restaurant offered. Continental breakfast was $9 or you could order what you wanted for a fee. We did not end up eating at the hotel, but it’s a nice option to have. The hotel was in a nice location to do many things. I would stay again."
176,2022-11-06 17:22:07.946827,5/5 Excellent,Roxana,"Jul 25, 2022",,I highly recommend!
177,2022-11-06 17:22:08.003718,5/5 Excellent,Robert,"Jul 24, 2022",,
178,2022-11-06 17:22:08.042048,5/5 Excellent,Sandra,"Jul 22, 2022",,
179,2022-11-06 17:22:08.154515,5/5 Excellent,Kevin,"Jul 19, 2022",,
180,2022-11-06 17:22:08.175920,5/5 Excellent,LUIS,"Aug 1, 2022",,Excelente servicio
181,2022-11-06 17:22:08.193965,4/5 Good,Daniel,"Aug 1, 2022",,"Restaurant by the lobby was ok, not the best for breakfast"
182,2022-11-06 17:22:08.215709,5/5 Excellent,Terrence,"Jul 31, 2022",Wonderful place to stay in Vhicago,"Wonderful hotel with a great location that is in walking distance to Millennium Park, River walk and the Art Institute."
183,2022-11-06 17:22:08.239420,4/5 Good,Michele,"Jul 30, 2022",,
184,2022-11-06 17:22:08.264384,2/5 Poor,William,"Jul 27, 2022",,NO PARKING FACILITY
185,2022-11-06 17:22:08.285904,4/5 Good,candie,"Jul 26, 2022",You can never go wrong with Hilton,"We were able to check in early which was nice. Front desk staff was friendly and helpful. The fitted sheet did not fit the bed when they changed the sheets, so we used the flat sheet to lay on. I have no doubt if I would have said something they would have fixed it, but to me it was not that big of deal just odd. When we asked for extra towels and blanket they got it right away. I wished they had a menu showing what their restaurant offered. Continental breakfast was $9 or you could order what you wanted for a fee. We did not end up eating at the hotel, but it’s a nice option to have. The hotel was in a nice location to do many things. I would stay again."
186,2022-11-06 17:22:08.313577,5/5 Excellent,Roxana,"Jul 25, 2022",,I highly recommend!
187,2022-11-06 17:22:08.396272,5/5 Excellent,Robert,"Jul 24, 2022",,
188,2022-11-06 17:22:08.417995,5/5 Excellent,Sandra,"Jul 22, 2022",,
189,2022-11-06 17:22:08.488283,5/5 Excellent,Kevin,"Jul 19, 2022",,
190,2022-11-06 17:22:08.514334,4/5 Good,Scott,"Jun 24, 2022",,"Good location, clean but basic"
191,2022-11-06 17:22:08.544812,4/5 Good,Ashley,"Jun 21, 2022",,
192,2022-11-06 17:22:08.590076,5/5 Excellent,Matthew,"Jun 21, 2022",,"Great location, and convenient to many things"
193,2022-11-06 17:22:08.611108,5/5 Excellent,ERIC,"Jun 21, 2022",,"Great stay, great staff!"
194,2022-11-06 17:22:08.627959,4/5 Good,Lester,"Jun 20, 2022",Comfortable and perfect location,Ethan at the front desk was enthusiastic and extremely helpful. He made the stay enjoyable from the instant I walked in the lobby. Well done?
195,2022-11-06 17:22:08.649290,5/5 Excellent,"Belinda Gonzalez, Lexington","Jun 18, 2022",,"Clean, fast check in, good service, perfect location."
196,2022-11-06 17:22:08.692678,5/5 Excellent,Keith,"Jun 16, 2022",,"Walking Distance to everything including the Riverfront . Great
Location and staff was fabulous.
Be sure and stop in at the bar 
And see James ."
197,2022-11-06 17:22:08.775314,4/5 Good,Verified traveler,"Jun 16, 2022",,
198,2022-11-06 17:22:08.806012,5/5 Excellent,ROBERTO,"Jun 12, 2022",,"Nice location, everything close, super nice view from the room."
199,2022-11-06 17:22:08.831310,4/5 Good,Scott,"Jun 12, 2022",,We had a very nice stay!
200,2022-11-06 17:22:08.899632,4/5 Good,Scott,"Jun 24, 2022",,"Good location, clean but basic"
201,2022-11-06 17:22:08.920955,4/5 Good,Ashley,"Jun 21, 2022",,
202,2022-11-06 17:22:08.949483,5/5 Excellent,Matthew,"Jun 21, 2022",,"Great location, and convenient to many things"
203,2022-11-06 17:22:08.984458,5/5 Excellent,ERIC,"Jun 21, 2022",,"Great stay, great staff!"
204,2022-11-06 17:22:09.016592,4/5 Good,Lester,"Jun 20, 2022",Comfortable and perfect location,Ethan at the front desk was enthusiastic and extremely helpful. He made the stay enjoyable from the instant I walked in the lobby. Well done?
205,2022-11-06 17:22:09.093388,5/5 Excellent,"Belinda Gonzalez, Lexington","Jun 18, 2022",,"Clean, fast check in, good service, perfect location."
206,2022-11-06 17:22:09.166145,5/5 Excellent,Keith,"Jun 16, 2022",,"Walking Distance to everything including the Riverfront . Great
Location and staff was fabulous.
Be sure and stop in at the bar 
And see James ."
207,2022-11-06 17:22:09.193047,4/5 Good,Verified traveler,"Jun 16, 2022",,
208,2022-11-06 17:22:09.215140,5/5 Excellent,ROBERTO,"Jun 12, 2022",,"Nice location, everything close, super nice view from the room."
209,2022-11-06 17:22:09.240785,4/5 Good,Scott,"Jun 12, 2022",,We had a very nice stay!
210,2022-11-06 17:22:09.258553,4/5 Good,Scott,"Jun 24, 2022",,"Good location, clean but basic"
211,2022-11-06 17:22:09.276189,4/5 Good,Ashley,"Jun 21, 2022",,
212,2022-11-06 17:22:09.292115,5/5 Excellent,Matthew,"Jun 21, 2022",,"Great location, and convenient to many things"
213,2022-11-06 17:22:09.305006,5/5 Excellent,ERIC,"Jun 21, 2022",,"Great stay, great staff!"
214,2022-11-06 17:22:09.319278,4/5 Good,Lester,"Jun 20, 2022",Comfortable and perfect location,Ethan at the front desk was enthusiastic and extremely helpful. He made the stay enjoyable from the instant I walked in the lobby. Well done?
215,2022-11-06 17:22:09.336016,5/5 Excellent,"Belinda Gonzalez, Lexington","Jun 18, 2022",,"Clean, fast check in, good service, perfect location."
216,2022-11-06 17:22:09.349520,5/5 Excellent,Keith,"Jun 16, 2022",,"Walking Distance to everything including the Riverfront . Great
Location and staff was fabulous.
Be sure and stop in at the bar 
And see James ."
217,2022-11-06 17:22:09.365103,4/5 Good,Verified traveler,"Jun 16, 2022",,
218,2022-11-06 17:22:09.383267,5/5 Excellent,ROBERTO,"Jun 12, 2022",,"Nice location, everything close, super nice view from the room."
219,2022-11-06 17:22:09.405831,4/5 Good,Scott,"Jun 12, 2022",,We had a very nice stay!
220,2022-11-06 17:22:09.424820,4/5 Good,Scott,"Jun 24, 2022",,"Good location, clean but basic"
221,2022-11-06 17:22:09.441784,4/5 Good,Ashley,"Jun 21, 2022",,
222,2022-11-06 17:22:09.462465,5/5 Excellent,Matthew,"Jun 21, 2022",,"Great location, and convenient to many things"
223,2022-11-06 17:22:09.516735,5/5 Excellent,ERIC,"Jun 21, 2022",,"Great stay, great staff!"
